1/10	69
1/11	70
1/12	1159
1/7	45
1/8	63
1/9	65
2/2	186
2/3	883
2/4	1159
2/5	630
3/1	368
3/అ	365
3/అ1	368
3/ఆ4	368
3/ఆ5	366
3/ఆ6	367
3/ఆ7	368
3/ఇ/1	401
3/ఇ/2	60333
4	454
4/అ-1	2584
4/అ/11/1/2/1	454
4/అ/11/1/2/2	60377
4/అ/11/1/3	534
4/అ11/2	21
4/అ11/3	60231
4/అ2	89
4/అ3	435
4/అ/3	435
4/అ4	435
4/అ5/1/1	435
4/అ5/1/2/1	498
4/అ5/1/2/2	435
4/అ5/1/3	575
4/అ6	60240
4/అ7/1	60258
4/అ7/2	1228
4/అ8	165
4/అ/8	426
4/అ9/1	60240
4/అ9/2	426
5/అ1	60264
5/అ2	193
5/అ-2	102
5/అ3	125
5/ఆ1/1	43
5/ఆ1/2	580
5/ఆ1/3	581
5/ఆ2	102
5/ఇ1	223
5/ఇ2	577
5/ఇ/3	578
5/ఇ/4	18
5/ఇ/5	37
6/అ1	60264
6/అ2	193
6/అ3	125
6/ఆ1	577
6/ఆ2	578
7/అ	249
7/అ-1	852
7/ఆ	223
7/ఇ/1/1	60118
7/ఇ/1/2	60159
7/ఇ2/1	372
7/ఇ2/2	249
7/ఇ3	249
7/ఈ	372
8/అ1	195
8/అ2	306
8/ఇ	196
8/ఈ1/1	1501
8/ఈ1/2	60184
8/ఈ3	129
8/ఈ/3	103
8/ఈ/4	412
9	1456
9/అ1	195
9/అ2	474
9/అ/2/1	473
9/అ3	504
9/ఆ2	196
9/ఆ3	129
9/ఇ1/1	103
9/ఇ/2/1	60281
9/ఇ2/1	452
9/ఇ/3	37
10/అ-1	18
10/అ/1	132
10/అ/2	1505
10/ఆ1	72
10/ఆ2	263
11/అ/1	367
11/అ/2/1	60244
11/అ/2/2	60141
11/అ/3	60139
11/ఆ2/1/1	60244
11/ఆ2/1/2	60245
11/ఆ2/2	18
12/అ	263
12/ఆ	505
13/1	448
14/14	448
16/1	401
16/ఇ	401
16/ఈ1	366
16/ఈ2	367
16/ఈ3	368
17	261
18	401
18/2	17
18/అ	401
18-ఇ	17
18/ఈ1	366
18ఈ/2	367
18ఈ/3	368
19	401
19/అ	401
19-ఇ	17
19ఈ/1	366
19ఈ/2	367
19ఈ/3	368
20/1	401
20/3	17
21	390
21/1	505
21/2	415
21/4	401
21/అ1	60178
21/అ1-5	219
21-అ2	17
21/ఆ1	364
21/ఆ1-2	447
21/ఆ/2	447
22/అ1	447
22/అ2	364
22/అ3	364
22/ఆ1/1	448
22/ఆ1/2	364
22/ఆ/2/1	508
22/ఆ/3	364
22/ఇ	364
23/అ	508
23/ఆ	364
24	448
24/అ	159
24/ఆ2	345
24/ఆ3	159
25/అ-2	505
25/ఆ/1	508
26/ఆ	508
26/ఇ	447
27/ఆ2	417
27/ఆ/2	340
27/ఆ2/1	523
27/ఇ	418
27/ఉ	341
27/ఊ	803
27/రు	416
28/అ/1	60412
28/అ/2	60411
28/ఆ3	341
28/ఆ-5/1	8741
28/ఆ-5/2	60199
28/ఆ6	418
28/ఆ/6	416
28/ఆ6/1	803
28/ఆ/7	417
28/ఇ	60432
28/ఇ1	340
29/అ/1	871
29/అ1/1	60166
29/అ1/2	836
29/అ/2	512
29/ఇ	2
30	459
30/అ1/1	460
30/అ1/2	625
30/అ/2	137
30/ఇ	513
30/ఈ/3	20000508
31/అ/1	422
31/అ2	422
31/అ-2	135
31/ఇ	513
32/అ1/1	217
32/అ1/2	51
32అ/2	920
32/అ3/1/1	379
32/అ3/1/2/1	60261
32/అ3/1/2/2	512
32/అ3/1/3	60262
32/అ3/5	479
32/అ7	380
32/ఆ1/2	216
32/ఆ2	216
32/ఆ3	60358
32/ఆ3/2	217
32/ఆ3-3	216
32/ఆ4/1	164
32/ఆ/6	51
32/ఆ/8	232
32/ఇ	486
32/ఈ/1	487
32/ఈ/2	60362
32/ఉ	489
32/ఊ/1	60307
32/ఊ/2	920
33	512
33/అ/1	519
33/అ2	518
33/అ/3	60358
33/అ/3/1	466
33/అ4	244
33/అ/5	472
33/అ-6	256
33-అ/7	256
33/అ/7/1	60183
33/అ/8/2	639
33/అ/8/3	670
