1	258
3/అ-1	104
3/ఆ2	259
3/ఆ5	104
3/ఇ1	394
3/ఇ2	259
3/ఈ	3
4/2	3
4/3	231
5	160
6/1	160
7/1	60680
7/2	1226
7/5/2	1823
7/6	980
7/7	568
8/అ1	264
8/అ2	60660
8/అ3	349
8/అ4	2316
8/ఆ	1297
9/అ1-1/1	60660
9/అ1-1/2	60471
9/ఆ	2316
10/1	627
10/2/1	60337
10/3	347
11/1	627
11/2	60337
11/3	347
12/అ	349
13/1	60560
13/2	62
13/3	1092
13/3/2	1092
13/5	2676
14/1	60560
14/2	62
14/3	1092
14/3/2	1092
14/5	486
15	635
15/1	60560
15/2	62
15/3	1092
15/3/2	1092
15/4	144
15/5	60533
16/116/3	1039
16/2	980
16/5/2	1823
16/6	2623
17/1	1039
17/2-1	1039
17/3-2	1039
17/4	1039
17/a	980
18/1	60560
18/2	62
18/3	1092
18/4	635
18/5	144
20/అ	811
20/అ1	60494
20/ఆ/2	1812
20/ఆ2ఇ2	952
20/ఆ3ఇ3	811
20/ఈ3	1007
20/ఊ/2	514
21	60494
21/అ	811
21/ఆ1	60680
21/ఆ3	1226
21/ఆ7	649
21/ఆ8	951
21/ఇ1ఈ	1812
21/ఉ1	60533
21/ఊ	2669
22	649
22/అ2	60036
22/ఆ1	352
22/ఆ2	60336
22/ఆ2/1	1007
23/అ1	60560
23/అ2	62
23/అ3	1092
23/అ4	1287
23/అ5	60533
23/ఆ1	1287
23/ఆ2	513
23/ఆ3	485
23/ఆ3/1	485
23/ఆ3/2	1287
24/2/1	455
24/2/2/1	1265
24/2/2/2	60660
24/3	980
24/4	2599
24/5	258
25	1287
25/3	236
25/4	980
25/5	258
25/6	2662
26/1	60680
26/2	258
26/3	258
26/4	258
26/7	980
26/8	2599
26/9	2662
27/1	258
27/10	2662
27/3	485
27/4	2599
27/7-2	995
27/8	455
28/అ	486
28/ఆ1	60481
28/ఆ2	342
28/ఆ3/1	343
29/అ1	951
29/అ2	343
29/అ3	62
29/అ4	1092
29/ఆ/2	60264
29/ఇ	1287
29/ఈ2	60036
29/ఈ/2	60264
30/1	632
30/1/2	632
30/2	812
30/3	632
31/2	60731
31/3	60731
32/అ1	60731
32/అ3	60731
32/ఆ	1837
33/అ1	1408
33/అ2	1602
33/ఆ2/1	483
33/ఆ2/2	60731
33/ఆ3/1	232
33/ఆ3/2	60731
34/ఆ1/1	827
34/ఆ1/2	1421
34/ఆ2	1602
35/అ1	691
35/అ2/1	1421
35/ఆ1	212
35/ఆ2	827
36	646
37	827
37/2	1421
38/1	1076
38/3	85
38/ఆ2	1408
38/ఆ3	623
38/ఇ	60560
38/ఉ	1408
39/1	827
39/2-1	1603
39/3	1421
39/ఇ2	1602
40/1	1619
40/2	60590
40/3	60592
40/అ1/1	1604
40/అ2	1837
40/అ/2/1	1408
40/అ2/1	62
40/అ/2/2	1837
40/అ2/2/1/1	343
40/అ2/2/1/2	1837
40/అ2/2/2	980
40/అ2-3	147
40/అ2/3	147
40/అ3/1	2196
40/ఆ	486
40/ఇ	635
40/ఈ2	352
40/ఈ4	60037
40/ఉ	2662
41/1	60034
41/2	147
41/3	234
41/4	639
42/అ1	188
42/అ2	1138
42/అ-2	335
42/అ3	268
43/అ1	268
43/అ2	188
43/అ3	60754
43/అ4	268
43/ఆ	486
43/ఆ/2	60551
43/ఇ	811
43/ఈ	60364
44/1	274
44/2	1298
44/3	137
44/5	580
44/6	2773
45/అ	268
45/అ2	60551
45/ఆ1	60152
45/ఆ/3	110
46/5	60551
46/అ1	188
46/అ4/1	60708
46/అ4/2	60286
46/అ5	268
46/అ5/1	1165
46/ఇ3	60286
47/అ1	269
47/అ2/1	60185
47/అ3	818
47/అ5	60281
47/అ6	60020
47/అ7	830
47/అ8	569
47/ఆ/1	1642
48/3	60281
48/అ1	269
48/అ2/1	60185
48/అ3	818
48/అ7	60430
48/ఆ2	1642
49/అ/1	60708
49/అ2	1642
49/అ/2	60709
49/అ2/1	831
49/అ2/2	831
49/ఆ1	269
49/ఆ2/1	60185
49/ఆ3	818
49/ఆ5	60461
49/ఆ6	60020
49/ఆ7	830
49/ఆ8	569
49/ఇ	60430
50/అ1	16
50/అ2	60430
50/అ2/1	234
50/అ2/2	16
50/అ3	16
50/ఆ1	1345
50ఆ1/2	16
50/ఇ1	269
50/ఇ2/1	60185
50/ఇ3	188,818
50/ఇ4	2679
50/ఇ5	60281
50/ఇ6	60020
50/ఇ7	830
50/ఇ8	569
51/అ	826
51/అ/1	16
51/ఆ/2	60616
51/ఆ2/1	60185
51/ఆ3	818
51/ఆ5	60281
51/ఆ6	60020
51/ఆ7	830
51/ఆ8	569
51/ఇ1	188
51/ఈ	119
51/ఉ	2679
52/అ1	1078
52/ఆ1	1077
52/ఆ2	1076
52/ఇ	85
52/ఇ2/2/2	60729
52/ఇ2/3	827
52/ఇ3	489
53/అ1	1345
53/అ3	1078
53/ఆ1	1345
53/ఆ/1	1078
53/ఇ	486
53/ఈ	144
53/ఉ	1287
54/అ1	269
54/అ2/1	60185
